suburb,address,sale_price,sale_date,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,building_size_sqm,station_min,description,listing_url
Marrickville,73b Illawarra Road,3055000,16/09/2026,Duplex/semi-detached,4,3,2.0,240.0,,5,"Remarkable architectural design, generous proportions and exquisite finishes define this exceptional residence, tailored to contemporary family living. Enjoy seamless access to Marrickville's amenities including vibrant shops, schools, parks and transport.",https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-marrickville-152092644
Marrickville,705/178 Livingstone Road,912500,14/09/2026,Unit,1,1,1.0,,75.0,4,"Perched on level seven, this stylish one-bedroom apartment combines contemporary comfort with impressive leafy and district outlooks. Light-filled interiors extend to a sheltered balcony, while secure parking, storage and a study nook enhance everyday convenience.",https://www.realestate.com.au/sold/property-unit-nsw-marrickville-152027516
Marrickville,11 Albermarle Street,3170000,12/09/2026,House,3,1,1.0,518.5,,2,"Placed along a row of character homes in a tree-line street, this upgraded family residence radiates excellence with acute attention to detail. It possesses numerous original features, including coloured glazing, multiple fireplaces, high ornate ceilings and pristine timber floorboards. Every room is generously proportioned for comfort, across a classic three-bed floorplan that culminates in a sensational entertaining area with a stainless-steel kitchen, a dining setting with a fireplace, plus a full-width verandah that overlooks the northerly garden. There is plenty of space on this block to further extend the home subject to council approval (STCA), while its perfect presentation will warrant leaving it as it is and reaping all the rewards of the Marrickville postcode without haste. This address is placed between two train stations and there is a café on the corner of the street, while shops, parks, schools and light rail services are all within close proximity.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-152070136
Marrickville,22 Fletcher Street,2185000,12/09/2026,House,4,2,1.0,,,5,"Set within a quiet, tree-lined street, this freestanding late 1800s Victorian terrace presents an exciting opportunity on an impressive 524.9sqm (approx.) parcel of land. Featuring four bedrooms, two bathrooms and off-street parking, the property provides plenty of scope to renovate and restore the existing terrace or explore the potential to create a brand-new home (S.T.C.A.). With Marrickville Station, multiple other transport options, Marrickville Road's vibrant shops, cafes and bars, schools and parks all within easy walking distance, this is a rare opportunity to secure a substantial parcel of land in a highly sought-after location.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-152060540
Marrickville,228/11-23 Gordon Street,1475000,12/09/2026,Apartment,2,2,1.0,,,5,"Housed within the acclaimed 'Globe Mills' complex, this rare find is the only apartment to feature an outdoor terrace in the coveted warehouse conversion. With resort-worthy facilities on site and only one block back from Enmore Park, it's the epitome of urban living.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152073356
Marrickville,16/44-50 Ewart Street,810000,09/09/2026,Apartment,2,1,,,75.0,4,"With fresh interiors and a backdrop of leafy greenery, this smartly revamped apartment delivers an easy-living retreat matched by a quiet location of easy convenience. It makes a great low-maintenance home that's well presented throughout with refreshed interiors and a highly private position close to the heart of Dulwich Hill. This peaceful lifestyle setting is also within a 300m stroll to the Metro station, light rail and village cafes, and only a couple of blocks from the Cooks River parklands and the new Greenway.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-151460716
Marrickville,124 Warren Road,3500000,08/09/2026,House,5,3,3.0,385.7,,3,"There's something truly special about stepping into a home where every detail has been perfectly considered, with flawless interiors flowing seamlessly to an exceptional outdoor entertainer's paradise. Welcome to the future of luxurious modern living in this brand-new residence, where sensational style, high-end finishes and meticulous craftsmanship come together in spectacular fashion. Exclusively positioned within Marrickville's sought-after Warren Estate precinct, it offers a thoughtfully designed layout that makes everyday living and entertaining easy.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-152019512
Marrickville,53 Silver Street,1655000,04/09/2026,House,2,1,,,,4,"Positioned in a highly convenient lifestyle location, this freestanding home presents a rare opportunity for buyers looking to undertake a renovation project and create a home tailored to their own style and vision. Retaining much of its original character, the property offers separate lounge and dining areas, two bedrooms, an additional room ideal for a study or storage, and original kitchen and bathroom spaces. Offering outstanding potential to transform and add value, this is the perfect opportunity for renovators, builders or creative buyers looking to reimagine a freestanding home and capitalise on its sought-after location. Enjoying a vibrant setting within walking distance to Marrickville Road's shops, cafes, bars and restaurants, as well as parks, schools and public transport, this is an exciting chance to secure a home with enormous future potential in the heart of the inner west.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151158920
Marrickville,6 Park Road,1575500,04/09/2026,House,2,1,,215.0,,4,"For nearly one hundred years, this semi-detached home has known only one family, welcomed as tenants in c1928 and embraced as owners not long after. Cherished across four generations, its rich period character has been lovingly preserved, ready now to begin a new story.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151841660
Marrickville,13/2-6 Schwebel Street,1202000,03/09/2026,Apartment,2,1,1.0,,,1,"A street behind the lively Illawarra Road, this top-floor apartment catches the city skyline from its entertainer's balcony, with new engineered oak floorboards running through an open living domain. Marrickville Station, cafes and supermarkets sit within this enviably walkable pocket.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152102528
Marrickville,225/11-23 Gordon Street,850000,03/09/2026,Apartment,1,1,1.0,,65.0,5,"In the premier north-facing position, this 65sqm home (plus 13sqm parking) is one of the biggest 1-bedroom designs in the 'Globe Mills' conversion. With warehouse bones and incredible sense of space throughout, the oversized windows and high ceilings ensure plenty of light and wow factor, while the setting puts you in one of the area's best-regarded buildings.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152109944
Marrickville,8/261-263 Wardell Road,690000,02/09/2026,Apartment,1,1,1.0,,,1,"Located in the heart of Dulwich Hill, this modern apartment offers unbeatable convenience just 96m to train and light rail, with easy access to the CBD and Marrickville lifestyle precinct.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-149930668
Marrickville,27/254-258 Wardell Road,1350000,28/08/2026,Apartment,2,1,1.0,,116.0,1,"Presenting an exceptional opportunity, this beautifully appointed two-bedroom home combines a unique dual-level layout with contemporary interiors, generous proportions and an abundance of natural light. Thoughtfully designed for both everyday living and effortless entertaining, the home features a spacious open-plan living and dining area with floor to ceiling windows that creates a welcoming sense of space and seamless flow throughout. Being conveniently located only steps to public transport including the light rail, soon to be Metro, local shops, eateries & parklands, this home is perfect for all.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152076584
Marrickville,26/342A Marrickville Road,1170000,28/08/2026,Apartment,2,2,1.0,,,3,"Bathed in northerly sunlight from its generous entertainers' terrace, this immaculate apartment is oversized, modern and sensationally positioned in a vibrant, coveted pocket of Marrickville. House-like proportions host a beautifully curated design, made for easy, private and stylish living.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-151994520
Marrickville,102/1-13 Garners Avenue,1085000,28/08/2026,Apartment,1,1,1.0,,114.0,5,"Designed with a practical and user-friendly layout for modern living, this quality one-bedroom plus study courtyard apartment delivers the ideal home for today's demands. With private alfresco areas to entertain, you can extend your lifestyle outdoors and appreciate the sunlit spaces that make it an easy low-maintenance place to live. This is the perfect package for owner occupiers, a low-care investment or a scale down opportunity as it's stylishly appointed, very secure and positioned just 200m to Marrickville Road, with shopping, café and dining options strolling distance from the front door.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-151956384
Marrickville,605/2 Arthur Street,1730000,27/08/2026,Apartment,3,2,2.0,,155.0,2,"Experience the ultimate modern lifestyle in this stunning top-floor residence, offering panoramic city views from its enviable north east facing position. Designed for effortless living and entertaining, the open-plan lounge, dining and kitchen area flows seamlessly to the outdoors, with sleek herringbone-style floors on display throughout. The gourmet kitchen sets the tone for the home's luxurious ambiance featuring marble benchtops and premium Smeg appliances, while the generous accommodation and stylish bathrooms complete this quality city-fringe retreat. Positioned in a prime location, it's just a short stroll to Marrickville Station, parks and a vibrant array of shopping and dining options, while also being very convenient for the CBD.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-146419284
Marrickville,3/7 Henson Street,940000,27/08/2026,Apartment,2,1,1.0,,,3,"Enjoy easy ground floor living in this well-presented two-bedroom apartment, quietly positioned within a boutique security building of just eight apartments. Offering a leafy outlook and a practical layout, the apartment features polished timber floors throughout, split system air conditioning, a renovated bathroom and a neat and tidy kitchen complete with a convenient servery. The main bedroom opens onto a private balcony and includes a built-in wardrobe. Complete with a car space and ideally positioned close to transport, schools, parks and local shops, this is a comfortable home in a convenient location.",https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152011416
Marrickville,14 Excelsior Parade,2025000,22/08/2026,House,3,1,2.0,,,3,"Beautifully refreshed while retaining its timeless period charm, this character home showcases soaring ornate ceilings, generous proportions and an abundance of natural light. Blending classic elegance with modern comfort, it presents an exceptional opportunity for families, professionals and investors seeking space, flexibility and everyday convenience in one of Marrickville's most sought-after lifestyle pockets.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151849748
Marrickville,64 Silver Street,1700000,19/08/2026,House,2,1,,132.8,,5,"Quietly tucked away in one of Marrickville's most desirable pockets, this beautifully presented dual-level semi offers a superb blend of character, flexibility and Inner West convenience. Bathed in sunlight, the oversized two-bedroom layout combines inviting indoor and outdoor living with a versatile upper level and private entertaining spaces. Just metres from the vibrant cafés, restaurants and boutiques of Illawarra and Marrickville Roads, it's also a short stroll to the revitalised Marrickville Library precinct, city transport and the soon-to-open Marrickville Metro station.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151980248
Marrickville,22 Ruby Street,2510000,15/08/2026,House,4,2,1.0,455.0,,2,"Idyllically positioned in one of the suburb's finest locales, this generous double-fronted home with elaborate period features and exceptionally spacious dimensions, provides immediate family comfort and is within easy walking distance to Marrickville and Tempe train stations, vibrant cafes and a plethora of eclectic eateries. Set within lovely, established garden surrounds, this fine home retains its charming traditional attributes, which includes its gracious tesselated tiled return verandah, elaborate plaster ceilings and original timber fireplaces.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151806056
Marrickville,16 Holmesdale Street,1615000,14/07/2026,House,3,1,,,,6,"Perfectly positioned in a quiet, tree lined street just moments from Henson Park, this solid brick semi offers space, flexibility and lifestyle in one of Marrickville's most sought after pockets.",https://www.realestate.com.au/sold/property-house-nsw-marrickville-151293436
